Num Gasto;Cod Empleado;Nombre;Apellidos;Fecha Incorporacion;Departamento;Tipo Contrato;Sexo;Casado;Jornada;Fecha Nacimiento;NIF;Fecha Gasto;Concepto;IVA;Plazo Pago; Importe ;Pagado;Fecha Pagado
7;CD128;Patricia;Jiménez García;13/07/1998;CONTABILIDAD;INDEFINIDO;MUJER;VERDADERO;TARDE;;08974612N;06/04/2024;COMIDA;16%;30; 45,60 € ;VERDADERO;02/05/2024
31;CD126;Alejandro;Moreno Nieto;08/03/1998;CONTABILIDAD;INDEFINIDO;HOMBRE;VERDADERO;COMPLETA;13/06/1966;01298745c;27/04/2024;ALOJAMIENTO;8%;30; 63,25 € ;VERDADERO;26/07/2024
42;AB008;Nuria;Vidal Bermejo;04/04/2009;ADMINISTRACION;TEMPORAL;MUJER;FALSO;COMPLETA;;13256896G;16/04/2024;COMIDA;16%;30; 45,60 € ;VERDADERO;18/06/2024
58;FG853;Francisco;Campo Sánchez;14/01/2008;RRHH;TEMPORAL;HOMBRE;FALSO;TARDE;14/09/1981;21313564C;25/04/2024;COMIDA;16%;30; 45,60 € ;VERDADERO;18/05/2024
99;FG854;María Elena;Sanchiz Martín;27/09/2008;ADMINISTRACION;TEMPORAL;MUJER;VERDADERO;COMPLETA;16/03/1978;01231321B;09/04/2024;ALOJAMIENTO;8%;30; 75,00 € ;VERDADERO;04/06/2024
123;CD127;Juan José;Núñez Pérezoso;15/12/2009;CONTABILIDAD;PRACTICAS;HOMBRE;VERDADERO;COMPLETA;15/01/1983;09874214h;08/04/2024;ALOJAMIENTO;8%;30; 150,00 € ;VERDADERO;13/05/2024
165;AB010;Juan José;Conde Muñoz;18/06/2009;COMERCIAL;TEMPORAL;HOMBRE;FALSO;COMPLETA;;05648975L;06/04/2024;MATERIAL;16%;60; 30,23 € ;VERDADERO;13/05/2024
207;FG861;Lucía;Prieto Martín;04/08/1999;CONTABILIDAD;INDEFINIDO;MUJER;FALSO;MAÑANA;03/09/1968;48931234F;10/04/2024;COMIDA;16%;30; 345,23 € ;VERDADERO;29/05/2024
215;CD127;Juan José;Núñez Pérezoso;15/12/2009;CONTABILIDAD;PRACTICAS;HOMBRE;VERDADERO;COMPLETA;15/01/1983;09874214h;24/04/2024;ALOJAMIENTO;8%;30; 75,00 € ;VERDADERO;11/07/2024
249;AB002;Lucía;Moreno Luna;14/09/1992;RRHH;INDEFINIDO;MUJER;VERDADERO;COMPLETA;15/01/1968;13213246R;08/04/2024;MATERIAL;16%;60; 40,23 € ;VERDADERO;16/06/2024
259;FG860;Cristina;Lorenzo Cobo;14/01/1997;RRHH;INDEFINIDO;MUJER;FALSO;COMPLETA;;47845613Z;11/04/2024;COMIDA;16%;30; 125,68 € ;VERDADERO;11/05/2024
269;CD124;Federico;Bejarano Martínez;25/06/2004;RRHH;INDEFINIDO;HOMBRE;FALSO;MAÑANA;25/03/1973;12345678A;25/04/2024;ALOJAMIENTO;8%;30; 135,00 € ;VERDADERO;12/06/2024
271;AB003;Jesús;Vidal Sánchez;21/12/2002;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;TARDE;15/04/1979;98756456F;27/04/2024;COMIDA;16%;30; 25,00 € ;VERDADERO;06/07/2024
298;AB008;Nuria;Vidal Bermejo;04/04/2009;ADMINISTRACION;TEMPORAL;MUJER;FALSO;COMPLETA;;13256896G;26/04/2024;ALOJAMIENTO;8%;30; 123,86 € ;VERDADERO;11/05/2024
303;FG860;Cristina;Lorenzo Cobo;14/01/1997;RRHH;INDEFINIDO;MUJER;FALSO;COMPLETA;;47845613Z;09/04/2024;COMIDA;16%;30; 40,23 € ;VERDADERO;17/05/2024
304;AB010;Juan José;Conde Muñoz;18/06/2009;COMERCIAL;TEMPORAL;HOMBRE;FALSO;COMPLETA;;05648975L;22/04/2024;ALOJAMIENTO;8%;30; 63,25 € ;VERDADERO;03/07/2024
310;CD124;Federico;Bejarano Martínez;25/06/2004;RRHH;INDEFINIDO;HOMBRE;FALSO;MAÑANA;25/03/1973;12345678A;21/04/2024;MATERIAL;16%;60; 30,23 € ;VERDADERO;09/06/2024
340;AB003;Jesús;Vidal Sánchez;21/12/2002;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;TARDE;15/04/1979;98756456F;04/04/2024;ALOJAMIENTO;8%;30; 75,00 € ;VERDADERO;18/05/2024
342;FG854;María Elena;Sanchiz Martín;27/09/2008;ADMINISTRACION;TEMPORAL;MUJER;VERDADERO;COMPLETA;16/03/1978;01231321B;08/04/2024;COMIDA;16%;30; 345,23 € ;VERDADERO;02/07/2024
348;CD129;Rafael;Machado Sanchís;01/06/2003;COMERCIAL;INDEFINIDO;HOMBRE;VERDADERO;TARDE;16/11/1981;12313133B;29/04/2024;MATERIAL;16%;60; 40,23 € ;VERDADERO;21/06/2024
448;AB003;Jesús;Vidal Sánchez;21/12/2002;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;TARDE;15/04/1979;98756456F;28/04/2024;ALOJAMIENTO;8%;30; 70,00 € ;VERDADERO;26/06/2024
469;AB009;Eduardo;Sánchez Martín;11/06/1997;ADMINISTRACION;INDEFINIDO;HOMBRE;VERDADERO;COMPLETA;25/01/1976;03698745h;28/04/2024;MATERIAL;16%;60; 185,00 € ;VERDADERO;19/07/2024
501;CD123;Sandra;Rupérez Martín;21/05/1998;RRHH;INDEFINIDO;MUJER;FALSO;MAÑANA;21/08/1993;78979845F;21/04/2024;COMIDA;16%;30; 29,63 € ;VERDADERO;28/04/2024
504;CD124;Federico;Bejarano Martínez;25/06/2004;RRHH;INDEFINIDO;HOMBRE;FALSO;MAÑANA;25/03/1973;12345678A;21/04/2024;COMIDA;16%;30; 225,00 € ;VERDADERO;28/06/2024
506;AB003;Jesús;Vidal Sánchez;21/12/2002;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;TARDE;15/04/1979;98756456F;27/04/2024;COMIDA;16%;30; 45,60 € ;VERDADERO;05/07/2024
528;FG857;Carmen;Gutierrez Sánchez;21/01/1997;ADMINISTRACION;INDEFINIDO;MUJER;VERDADERO;TARDE;14/03/1971;12345078a;12/04/2024;MATERIAL;16%;60; 345,23 € ;VERDADERO;07/06/2024
553;CD127;Juan José;Núñez Pérezoso;15/12/2009;CONTABILIDAD;PRACTICAS;HOMBRE;VERDADERO;COMPLETA;15/01/1983;09874214h;24/04/2024;DESPLAZAMIENTO;16%;60; 25,00 € ;VERDADERO;09/05/2024
568;FG855;David;Peña Ramírez;20/11/2002;RRHH;INDEFINIDO;HOMBRE;FALSO;COMPLETA;;96328741g;27/04/2024;DESPLAZAMIENTO;16%;60; 35,80 € ;VERDADERO;16/07/2024
570;CD127;Juan José;Núñez Pérezoso;15/12/2009;CONTABILIDAD;PRACTICAS;HOMBRE;VERDADERO;COMPLETA;15/01/1983;09874214h;16/04/2024;DESPLAZAMIENTO;16%;60; 136,00 € ;VERDADERO;26/06/2024
582;FG856;Norberto;Ferrando Luna;14/08/2003;COMERCIAL;INDEFINIDO;HOMBRE;FALSO;MAÑANA;;14796258k;23/04/2024;ALOJAMIENTO;8%;30; 175,36 € ;VERDADERO;20/06/2024
591;FG853;Francisco;Campo Sánchez;14/01/2008;RRHH;TEMPORAL;HOMBRE;FALSO;TARDE;14/09/1981;21313564C;16/04/2024;DESPLAZAMIENTO;16%;60; 30,23 € ;VERDADERO;30/04/2024
618;FG856;Norberto;Ferrando Luna;14/08/2003;COMERCIAL;INDEFINIDO;HOMBRE;FALSO;MAÑANA;;14796258k;02/04/2024;ALOJAMIENTO;8%;30; 125,00 € ;VERDADERO;17/04/2024
626;CD130;Fernando;Hernandez Sánchez;07/06/2009;COMERCIAL;PRACTICAS;HOMBRE;FALSO;COMPLETA;;95612133C;10/04/2024;COMIDA;16%;30; 25,00 € ;VERDADERO;31/05/2024
648;FG852;Cristina;Cobo Sánchez;03/07/2003;ADMINISTRACION;INDEFINIDO;MUJER;VERDADERO;MAÑANA;14/06/1980;79845133G;10/04/2024;ALOJAMIENTO;8%;30; 59,60 € ;VERDADERO;10/05/2024
722;FG854;María Elena;Sanchiz Martín;27/09/2008;ADMINISTRACION;TEMPORAL;MUJER;VERDADERO;COMPLETA;16/03/1978;01231321B;09/04/2024;MATERIAL;16%;60; 258,60 € ;VERDADERO;19/06/2024
726;FG852;Cristina;Cobo Sánchez;03/07/2003;ADMINISTRACION;INDEFINIDO;MUJER;VERDADERO;MAÑANA;14/06/1980;79845133G;04/04/2024;MATERIAL;16%;60; 90,63 € ;VERDADERO;15/06/2024
730;AB003;Jesús;Vidal Sánchez;21/12/2002;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;TARDE;15/04/1979;98756456F;30/04/2024;MATERIAL;16%;60; 185,00 € ;VERDADERO;26/07/2024
