Num Gasto;Cod Empleado;Nombre;Apellidos;Fecha Incorporacion;Departamento;Tipo Contrato;Sexo;Casado;Jornada;Fecha Nacimiento;NIF;Fecha Gasto;Concepto;IVA;Plazo Pago; Importe ;Pagado;Fecha Pagado
95;CD124;Federico;Bejarano Martínez;25/06/2004;RRHH;INDEFINIDO;HOMBRE;FALSO;MAÑANA;25/03/1973;12345678A;28/02/2024;COMIDA;16%;30; 25,00 € ;VERDADERO;18/05/2024
98;CD125;Rafael;Pérez Lorenzo;04/01/2009;ADMINISTRACION;PRACTICAS;HOMBRE;FALSO;TARDE;25/03/1982;64654643R;21/02/2024;COMIDA;16%;30; 40,23 € ;VERDADERO;06/03/2024
146;CD131;David;Huertas Hernández;15/03/2004;RRHH;INDEFINIDO;HOMBRE;VERDADERO;COMPLETA;15/02/1979;92147893y;04/02/2024;COMIDA;16%;30; 345,23 € ;VERDADERO;21/03/2024
151;AB001;Fernando;García Hernández;19/03/2000;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;MAÑANA;16/05/1970;48979845H;13/02/2024;DESPLAZAMIENTO;16%;60; 40,23 € ;VERDADERO;13/02/2024
154;CD124;Federico;Bejarano Martínez;25/06/2004;RRHH;INDEFINIDO;HOMBRE;FALSO;MAÑANA;25/03/1973;12345678A;04/02/2024;COMIDA;16%;30; 25,00 € ;VERDADERO;16/04/2024
170;FG852;Cristina;Cobo Sánchez;03/07/2003;ADMINISTRACION;INDEFINIDO;MUJER;VERDADERO;MAÑANA;14/06/1980;79845133G;13/02/2024;COMIDA;16%;30; 225,00 € ;VERDADERO;02/03/2024
227;CD127;Juan José;Núñez Pérezoso;15/12/2009;CONTABILIDAD;PRACTICAS;HOMBRE;VERDADERO;COMPLETA;15/01/1983;09874214h;12/02/2024;MATERIAL;16%;60; 45,60 € ;VERDADERO;29/03/2024
392;FG855;David;Peña Ramírez;20/11/2002;RRHH;INDEFINIDO;HOMBRE;FALSO;COMPLETA;;96328741g;12/02/2024;COMIDA;16%;30; 125,68 € ;VERDADERO;15/03/2024
400;CD123;Sandra;Rupérez Martín;21/05/1998;RRHH;INDEFINIDO;MUJER;FALSO;MAÑANA;21/08/1993;78979845F;03/02/2024;ALOJAMIENTO;8%;30; 125,00 € ;VERDADERO;13/02/2024
413;FG852;Cristina;Cobo Sánchez;03/07/2003;ADMINISTRACION;INDEFINIDO;MUJER;VERDADERO;MAÑANA;14/06/1980;79845133G;03/02/2024;MATERIAL;16%;60; 40,23 € ;VERDADERO;17/04/2024
