Num Gasto;Cod Empleado;Nombre;Apellidos;Fecha Incorporacion;Departamento;Tipo Contrato;Sexo;Casado;Jornada;Fecha Nacimiento;NIF;Fecha Gasto;Concepto;IVA;Plazo Pago; Importe ;Pagado;Fecha Pagado
19;CD126;Alejandro;Moreno Nieto;08/03/1998;CONTABILIDAD;INDEFINIDO;HOMBRE;VERDADERO;COMPLETA;13/06/1966;01298745c;10/06/2024;ALOJAMIENTO;8%;30; 175,36 € ;VERDADERO;14/07/2024
36;AB006;Emilio;Fuentes Arona;23/06/2004;COMERCIAL;INDEFINIDO;HOMBRE;VERDADERO;MAÑANA;;48129845H;27/06/2024;COMIDA;16%;30; 40,23 € ;VERDADERO;30/08/2024
76;CD127;Juan José;Núñez Pérezoso;15/12/2009;CONTABILIDAD;PRACTICAS;HOMBRE;VERDADERO;COMPLETA;15/01/1983;09874214h;02/06/2024;COMIDA;16%;30; 25,00 € ;VERDADERO;18/07/2024
101;CD126;Alejandro;Moreno Nieto;08/03/1998;CONTABILIDAD;INDEFINIDO;HOMBRE;VERDADERO;COMPLETA;13/06/1966;01298745c;03/06/2024;COMIDA;16%;30; 80,60 € ;VERDADERO;08/08/2024
106;FG856;Norberto;Ferrando Luna;14/08/2003;COMERCIAL;INDEFINIDO;HOMBRE;FALSO;MAÑANA;;14796258k;22/06/2024;ALOJAMIENTO;8%;30; 147,20 € ;VERDADERO;24/07/2024
196;AB007;María Luisa;Santurce Velilla;26/09/1995;RRHH;INDEFINIDO;MUJER;FALSO;TARDE;29/07/1972;97897533F;16/06/2024;COMIDA;16%;30; 40,23 € ;VERDADERO;11/07/2024
228;FG856;Norberto;Ferrando Luna;14/08/2003;COMERCIAL;INDEFINIDO;HOMBRE;FALSO;MAÑANA;;14796258k;21/06/2024;MATERIAL;16%;60; 125,68 € ;VERDADERO;10/07/2024
246;AB001;Fernando;García Hernández;19/03/2000;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;MAÑANA;16/05/1970;48979845H;30/06/2024;MATERIAL;16%;60; 67,35 € ;VERDADERO;22/07/2024
253;CD125;Rafael;Pérez Lorenzo;04/01/2009;ADMINISTRACION;PRACTICAS;HOMBRE;FALSO;TARDE;25/03/1982;64654643R;29/06/2024;MATERIAL;16%;60; 35,80 € ;VERDADERO;07/08/2024
437;FG856;Norberto;Ferrando Luna;14/08/2003;COMERCIAL;INDEFINIDO;HOMBRE;FALSO;MAÑANA;;14796258k;18/06/2024;ALOJAMIENTO;8%;30; 59,60 € ;VERDADERO;19/07/2024
