Num Gasto;Cod Empleado;Nombre;Apellidos;Fecha Incorporacion;Departamento;Tipo Contrato;Sexo;Casado;Jornada;Fecha Nacimiento;NIF;Fecha Gasto;Concepto;IVA;Plazo Pago; Importe ;Pagado;Fecha Pagado
5;FG856;Norberto;Ferrando Luna;14/08/2003;COMERCIAL;INDEFINIDO;HOMBRE;FALSO;MAÑANA;;14796258k;21/03/2024;COMIDA;16%;30; 29,63 € ;VERDADERO;17/05/2024
60;CD125;Rafael;Pérez Lorenzo;04/01/2009;ADMINISTRACION;PRACTICAS;HOMBRE;FALSO;TARDE;25/03/1982;64654643R;03/03/2024;COMIDA;16%;30; 125,68 € ;VERDADERO;27/04/2024
64;CD127;Juan José;Núñez Pérezoso;15/12/2009;CONTABILIDAD;PRACTICAS;HOMBRE;VERDADERO;COMPLETA;15/01/1983;09874214h;17/03/2024;DESPLAZAMIENTO;16%;60; 345,23 € ;VERDADERO;05/06/2024
85;CD124;Federico;Bejarano Martínez;25/06/2004;RRHH;INDEFINIDO;HOMBRE;FALSO;MAÑANA;25/03/1973;12345678A;10/03/2024;ALOJAMIENTO;8%;30; 63,25 € ;VERDADERO;10/03/2024
92;CD127;Juan José;Núñez Pérezoso;15/12/2009;CONTABILIDAD;PRACTICAS;HOMBRE;VERDADERO;COMPLETA;15/01/1983;09874214h;01/03/2024;DESPLAZAMIENTO;16%;60; 80,60 € ;VERDADERO;15/03/2024
140;CD129;Rafael;Machado Sanchís;01/06/2003;COMERCIAL;INDEFINIDO;HOMBRE;VERDADERO;TARDE;16/11/1981;12313133B;13/03/2024;ALOJAMIENTO;8%;30; 70,00 € ;VERDADERO;05/04/2024
164;FG860;Cristina;Lorenzo Cobo;14/01/1997;RRHH;INDEFINIDO;MUJER;FALSO;COMPLETA;;47845613Z;14/03/2024;MATERIAL;16%;60; 450,00 € ;VERDADERO;20/03/2024
171;AB002;Lucía;Moreno Luna;14/09/1992;RRHH;INDEFINIDO;MUJER;VERDADERO;COMPLETA;15/01/1968;13213246R;25/03/2024;ALOJAMIENTO;8%;30; 130,60 € ;VERDADERO;17/05/2024
175;FG854;María Elena;Sanchiz Martín;27/09/2008;ADMINISTRACION;TEMPORAL;MUJER;VERDADERO;COMPLETA;16/03/1978;01231321B;18/03/2024;ALOJAMIENTO;8%;30; 63,25 € ;VERDADERO;07/06/2024
191;CD127;Juan José;Núñez Pérezoso;15/12/2009;CONTABILIDAD;PRACTICAS;HOMBRE;VERDADERO;COMPLETA;15/01/1983;09874214h;03/03/2024;ALOJAMIENTO;8%;30; 75,00 € ;VERDADERO;30/05/2024
